Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9112762237762237,0.8781925343811395,0.7602040816326531,0.8149498632634458
Random Forest,0.9943181818181818,0.989778534923339,0.9880952380952381,0.9889361702127659
SVM,0.9715909090909091,0.9170653907496013,0.9778911564625851,0.9465020576131687
XGBoost,0.993006993006993,0.9880546075085325,0.9846938775510204,0.9863713798977853
MLP Neural Network,0.9956293706293706,0.9914965986394558,0.9914965986394558,0.9914965986394558
